source,destination,total
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,6Cecxx46TwpVi4f8FfL7yorrzw2A7eWNbvhCUEoxNtaE,903638.5572646842
6Cecxx46TwpVi4f8FfL7yorrzw2A7eWNbvhCUEoxNtaE,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,903638.557259684
9XMWChkkdPBpwJJyF5wpWJJknbVnkW2ZmmcNNGs6FFTw,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,903395.5988130007
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,J7F8Zt1Fwpb5VBooC7rZwT5T8nBu6orKGAnqgxs4nGsW,884376.694529512
J7F8Zt1Fwpb5VBooC7rZwT5T8nBu6orKGAnqgxs4nGsW,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,884376.694524512
54doacYCQRSn4zo9dSbTwmGVz2exCngBsmLzmfNfaUrX,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,833330.368144
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,GeJy4LCXHpKv5r6yQ18GgfpCoDgJ8wWuX4pQAiErasvN,801580.0
2ebkFAsc4nfpnrQ5YuMMVjsiLntfk8Ed5Aoe4rrmTupC,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,801181.2074420999
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,9LhV4kK7ZCuuoty5huPCejaU9pNpdpr3LCjHZL7RE8Nh,793444.3726152388
9LhV4kK7ZCuuoty5huPCejaU9pNpdpr3LCjHZL7RE8Nh,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,793444.372610239
38oRtJcFN7KGCUNhWQWNjxkMFFGaBXYeaafMGeGukc5h,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,791460.6719219999
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,38oRtJcFN7KGCUNhWQWNjxkMFFGaBXYeaafMGeGukc5h,791460.5219999999
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,HxJmBRkw6GXkkvXomiXFL8XBJubA8n6BSdHSVeFrpfmb,772936.610617552
HxJmBRkw6GXkkvXomiXFL8XBJubA8n6BSdHSVeFrpfmb,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,772936.610612552
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2asaRnyZqRBFabEGADtFyUfyesh2yoEhYFcuzfFSg3UZ,767228.0283680003
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,7sgRM9w8UCccJKrCXkcnSMiP8iDsJjv1nNr2Y4sAbGV5,766813.0086305242
7sgRM9w8UCccJKrCXkcnSMiP8iDsJjv1nNr2Y4sAbGV5,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,766813.008625524
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,9P6Vdd1tuFWm11haaAkCCcCWbNoQ9BCTsTaMrNkYC2Zg,762581.5059135922
9P6Vdd1tuFWm11haaAkCCcCWbNoQ9BCTsTaMrNkYC2Zg,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,762581.505908592
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,E5AZoRZkz3nqHZNHuiRi7PcvidEVKxD3KhvBdx2fvqcd,758670.184394398
E5AZoRZkz3nqHZNHuiRi7PcvidEVKxD3KhvBdx2fvqcd,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,758670.184389398
